Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
ccan/ccan/opt/opt.c                                              144                42    70.83%          22                 4    81.82%         205                47    77.07%          82                24    70.73%
ccan/ccan/opt/opt.h                                                1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
ccan/ccan/opt/parse.c                                             96                10    89.58%           7                 0   100.00%         123                20    83.74%          64                12    81.25%
ccan/ccan/opt/usage.c                                            106                15    85.85%           8                 1    87.50%         171                22    87.13%          80                18    77.50%
ccan/ccan/pipecmd/pipecmd.c                                      132                38    71.21%           4                 0   100.00%         157                43    72.61%          88                41    53.41%
ccan/ccan/ptrint/ptrint.h                                          5                 0   100.00%           2                 0   100.00%          12                 5    58.33%           0                 0         -
ccan/ccan/read_write_all/read_write_all.c                         24                 2    91.67%           2                 0   100.00%          26                 2    92.31%          16                 2    87.50%
ccan/ccan/rune/coding.c                                          179                22    87.71%          23                 2    91.30%         254                23    90.94%         102                18    82.35%
ccan/ccan/rune/rune.c                                            363               133    63.36%          27                 4    85.19%         320                87    72.81%         146                69    52.74%
ccan/ccan/str/base32/base32.c                                     64                21    67.19%           7                 1    85.71%         102                33    67.65%          52                30    42.31%
ccan/ccan/str/hex/hex.h                                            2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
ccan/ccan/str/str.c                                                3                 1    66.67%           1                 0   100.00%           8                 3    62.50%           2                 1    50.00%
ccan/ccan/str/str.h                                               18                 8    55.56%          14                 8    42.86%          45                25    44.44%           2                 0   100.00%
ccan/ccan/strmap/strmap.c                                         91                18    80.22%          10                 1    90.00%         157                32    79.62%          62                16    74.19%
ccan/ccan/strmap/strmap.h                                          2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
ccan/ccan/strset/strset.c                                        113                61    46.02%          10                 4    60.00%         189               104    44.97%          76                47    38.16%
ccan/ccan/strset/strset.h                                          2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
ccan/ccan/structeq/structeq.h                                     28                 1    96.43%           1                 0   100.00%          17                 0   100.00%           0                 0         -
ccan/ccan/take/take.c                                             57                24    57.89%           7                 1    85.71%          82                35    57.32%          40                22    45.00%
ccan/ccan/tal/grab_file/grab_file.c                               32                 6    81.25%           2                 0   100.00%          44                 6    86.36%          18                 6    66.67%
ccan/ccan/tal/link/link.c                                         74                23    68.92%           5                 1    80.00%          60                26    56.67%          22                13    40.91%
